N,P,K,pH,Moisture,Fertility
34.13,25.06,46.05,4.13,26.31,Medium
58.36,16.45,46.65,6.42,66.15,High
91.01,41.75,36.11,6.54,16.27,High
59.14,42.59,27.07,4.98,11.88,Medium
83.69,10.39,76.83,6.1,46.27,High
26.83,29.8,39.16,6.35,22.82,Medium
52.9,55.03,74.58,6.63,47.1,High
0.0,18.15,29.27,5.76,51.2,Medium
56.65,28.34,24.79,6.31,61.42,Medium
80.43,25.72,40.47,7.65,31.22,Medium
54.82,20.01,48.56,5.14,93.99,Medium
28.34,20.79,36.51,6.72,39.62,Medium
34.03,2.98,0.0,7.05,54.0,Medium
97.22,39.62,47.92,5.32,38.36,Medium
48.0,22.98,55.85,5.5,38.5,Medium
87.54,16.89,61.69,5.42,43.66,Medium
48.09,15.32,27.4,4.69,48.01,Medium
57.45,0.0,59.85,5.32,72.27,Medium
62.9,0.0,34.35,6.5,51.56,Medium
70.31,38.03,60.83,6.29,56.95,High
63.64,55.79,41.26,4.58,42.33,Medium
27.99,57.9,15.19,5.75,46.62,Medium
90.87,48.11,37.33,6.44,53.81,High
69.86,20.28,26.03,6.05,42.36,Medium
40.1,0.0,22.21,5.38,89.66,Low
47.18,44.18,0.0,6.28,58.54,Medium
53.55,31.08,47.13,6.3,34.08,Medium
57.0,0.0,29.06,5.62,41.43,Medium
46.86,14.36,54.25,5.65,45.62,Medium
74.03,26.32,31.28,7.53,18.92,Medium
29.72,48.49,9.79,6.27,5.0,Medium
75.43,22.82,24.88,7.62,71.6,Medium
56.54,47.45,38.51,5.35,50.08,Medium
44.11,34.7,27.1,6.31,56.26,Medium
79.68,41.2,50.45,4.03,49.79,Medium
64.32,45.43,79.03,6.49,42.61,High
123.52,9.23,50.32,6.23,49.16,High
61.12,54.14,0.0,5.44,40.11,Medium
34.71,35.36,42.46,5.73,45.64,Medium
31.47,77.53,47.35,6.68,50.65,High
12.2,44.91,34.89,6.04,60.12,Medium
45.18,41.11,33.06,5.81,66.23,Medium
77.75,58.52,25.16,5.98,33.11,Medium
96.67,0.0,26.2,4.39,53.16,Medium
7.19,7.87,56.55,7.99,52.74,Medium
40.95,38.39,49.2,6.06,55.52,High
100.4,0.0,47.91,7.56,51.62,Medium
56.91,37.8,14.77,6.29,23.24,Medium
125.79,9.61,0.0,7.09,69.19,Medium
22.0,0.0,16.84,6.12,55.16,Medium
64.37,58.37,0.0,7.47,64.85,Medium
49.0,39.32,41.64,6.24,49.01,High
78.58,0.0,38.6,5.85,64.74,Medium
68.37,0.0,38.86,6.1,56.87,Medium
107.55,42.65,13.66,7.15,42.93,High
26.77,63.38,42.98,6.33,57.25,High
0.0,42.28,0.0,6.7,27.87,Medium
86.69,43.4,22.93,7.09,50.13,High
63.72,69.68,15.0,6.65,58.43,High
82.87,12.93,3.74,7.34,55.79,Medium
11.7,14.68,0.0,6.37,53.31,Medium
78.68,33.72,0.0,6.03,58.48,Medium
59.21,41.48,37.71,7.88,61.42,Medium
43.86,36.78,57.45,7.13,78.12,Medium
0.99,39.87,1.28,5.88,39.3,Low
0.0,20.79,14.39,8.0,51.38,Medium
48.87,55.03,29.35,7.85,62.84,Medium
57.41,16.55,22.51,5.77,28.26,Medium
72.47,15.05,11.4,4.73,19.84,Low
80.43,52.2,7.62,6.58,61.81,High
67.81,28.22,12.27,5.41,73.39,Low
28.23,13.47,26.33,7.77,27.91,Low
101.41,49.4,14.2,6.11,60.56,High
49.3,50.88,31.1,8.07,73.46,Medium
66.41,29.58,36.02,7.58,48.2,Medium
28.36,35.97,41.92,8.11,60.56,Medium
95.33,15.58,28.32,7.74,50.32,Medium
51.98,18.3,40.16,7.05,16.14,Medium
65.4,31.06,56.94,5.66,63.19,Medium
105.08,0.0,11.38,7.71,79.64,Medium
72.71,24.2,50.94,5.87,44.58,Medium
28.76,39.71,27.95,7.72,57.83,Medium
23.52,20.57,26.0,7.01,34.6,Medium
73.2,29.53,0.0,6.06,66.73,Medium
68.5,14.34,15.25,7.68,37.99,Medium
29.54,29.24,10.54,5.71,33.81,Low
106.61,28.74,11.43,6.78,44.36,Medium
93.82,41.44,70.86,7.6,72.75,High
81.0,54.04,9.51,7.03,21.09,Medium
111.34,30.04,33.84,7.06,23.93,Medium
83.33,27.87,10.93,4.92,47.77,Medium
56.2,42.7,38.62,5.55,75.76,Medium
58.03,23.09,3.42,6.16,64.04,Medium
57.27,29.33,28.81,6.66,36.39,Medium
45.29,27.35,14.19,8.54,61.06,Medium
54.62,29.69,19.13,7.71,77.1,Medium
54.43,36.71,0.0,6.2,79.17,Medium
68.12,34.1,49.69,5.1,24.22,Medium
101.64,58.43,36.96,7.26,69.05,High
0.0,52.1,26.98,9.0,33.24,Medium
80.89,68.76,29.93,5.9,44.9,High
31.46,17.11,37.99,5.26,53.31,Medium
0.09,20.03,18.01,7.59,63.5,Medium
27.07,13.86,48.05,5.95,62.29,Medium
2.69,68.57,63.7,7.05,39.89,Medium
10.56,29.65,0.0,5.03,21.54,Low
57.96,15.06,1.77,4.83,64.28,Medium
34.39,78.34,18.48,7.77,75.66,Medium
81.22,28.88,12.66,7.61,58.98,Medium
88.54,64.93,42.98,8.22,95.0,Medium
43.62,21.21,0.0,6.35,21.81,Medium
1.54,35.86,33.06,7.46,76.5,Medium
55.05,17.35,1.36,8.55,8.59,Low
30.7,30.36,52.56,6.61,46.74,Medium
32.53,42.23,8.0,5.12,51.63,Medium
69.91,0.0,18.66,6.67,48.72,Medium
92.79,13.06,48.78,5.43,63.65,Medium
36.9,21.21,54.57,7.71,60.43,Medium
48.27,55.74,27.24,8.27,52.44,Medium
61.0,41.96,17.71,7.27,46.62,High
67.35,26.42,4.63,7.44,83.61,Medium
49.59,45.55,12.68,6.43,92.89,Medium
18.45,30.4,16.84,7.1,65.46,Medium
96.89,47.49,0.0,6.94,49.48,High
51.91,12.85,22.93,6.69,60.35,Medium
38.6,23.7,74.4,6.54,38.32,Medium
13.16,30.47,16.21,6.76,20.99,Medium
127.71,12.05,45.0,6.03,63.68,High
27.32,19.75,38.72,5.79,6.18,Medium
58.86,37.53,25.43,3.5,31.12,Medium
57.81,39.31,49.19,6.53,12.05,Medium
75.1,48.55,28.19,6.55,65.8,High
58.28,42.23,47.05,7.22,16.89,High
76.41,12.98,42.55,5.83,66.89,Medium
83.73,3.56,31.83,5.85,48.91,Medium
61.69,41.42,12.28,4.98,45.84,Medium
45.49,43.78,34.0,8.18,51.7,Medium
59.22,67.93,0.0,6.37,27.63,Medium
76.04,34.0,31.8,5.38,73.16,Medium
63.36,32.27,21.37,6.92,69.3,Medium
18.68,41.48,17.55,6.88,72.95,Medium
56.36,21.08,45.47,7.21,29.2,Medium
38.75,14.81,25.15,8.49,83.29,Low
85.3,21.57,19.39,5.44,33.41,Medium
97.24,32.3,58.43,6.41,42.69,High
61.13,40.58,37.53,5.53,69.33,Medium
42.5,0.0,49.73,5.49,15.65,Medium
80.71,25.52,21.37,7.23,41.98,High
65.25,19.66,43.02,6.32,42.71,High
66.26,20.77,28.09,4.62,59.62,Medium
11.38,22.67,6.27,7.29,38.63,Medium
42.4,25.98,28.69,5.9,89.01,Medium
86.89,27.36,56.77,4.44,54.6,Medium
17.3,30.35,44.03,7.26,40.36,Medium
38.97,40.57,14.58,6.23,43.23,Medium
41.24,15.24,16.56,6.74,33.06,Medium
84.36,26.9,28.15,7.27,55.6,High
66.99,0.0,39.64,5.83,56.8,Medium
2.57,7.01,44.2,6.76,31.12,Medium
67.57,49.11,8.39,6.08,46.21,Medium
117.13,35.83,80.79,8.57,62.18,Medium
92.44,30.84,27.67,6.3,46.78,High
47.8,11.88,42.87,5.6,54.79,Medium
4.8,26.42,34.09,5.66,89.12,Medium
62.05,59.53,42.11,5.32,48.64,Medium
62.04,29.06,50.14,6.62,33.12,Medium
19.14,45.62,4.24,6.75,23.08,Medium
98.95,22.33,58.05,5.32,41.65,Medium
24.78,33.07,19.44,7.38,46.62,Medium
85.0,40.1,15.81,5.32,40.88,Medium
4.83,73.88,17.83,6.92,48.27,Medium
49.51,16.56,0.0,6.51,30.17,Medium
81.22,50.65,38.31,6.45,37.4,High
39.03,9.71,37.65,7.08,33.43,Medium
48.61,47.64,23.57,5.51,31.28,Medium
68.63,59.82,30.71,5.82,19.58,Medium
11.49,56.43,43.68,7.39,27.24,Medium
63.66,0.0,61.97,7.58,41.18,Medium
43.1,20.62,37.03,6.49,49.56,Medium
28.26,28.98,36.73,7.43,61.52,Medium
22.45,40.5,22.24,6.3,56.01,Medium
24.22,13.88,33.53,8.04,37.43,Low
25.38,30.42,33.28,4.67,49.06,Medium
10.37,67.95,19.75,5.44,80.0,Medium
26.53,32.89,42.75,6.12,54.96,Medium
22.49,30.75,55.23,5.69,36.88,Medium
82.2,6.78,41.14,7.02,50.37,High
29.91,16.36,19.77,7.82,66.71,Medium
57.72,52.73,46.66,7.29,5.0,High
60.92,40.84,43.0,5.44,73.42,Medium
47.44,40.46,45.41,4.85,27.11,Medium
72.08,44.95,21.19,6.86,36.31,Medium
78.58,6.54,45.27,6.69,55.7,Medium
21.75,22.99,58.71,6.56,62.49,Medium
53.3,7.5,0.0,5.92,58.66,Medium
95.84,31.62,35.06,7.46,84.55,Medium
47.87,53.93,42.43,6.85,88.5,High
24.23,30.88,17.75,7.25,29.65,Medium
100.98,29.15,29.07,8.16,41.1,Medium
89.18,44.49,38.5,3.77,59.37,Medium
93.47,60.57,39.99,6.16,62.34,High
53.69,54.5,40.4,5.9,42.61,High
34.03,38.86,48.2,6.74,32.28,Medium
46.31,48.55,32.62,6.12,82.03,Medium
9.25,48.7,0.0,6.37,69.59,Medium
34.41,25.35,81.2,7.27,72.36,Medium
86.96,2.96,18.24,6.49,39.02,Medium
90.4,49.66,23.81,8.92,49.07,Medium
54.89,61.41,46.46,7.67,59.52,High
109.17,40.12,64.66,6.68,67.24,High
63.32,39.16,11.63,5.71,56.05,Medium
93.95,12.74,44.23,5.01,56.96,Medium
92.17,12.4,22.72,5.37,76.57,Medium
0.0,38.61,47.3,6.26,36.43,Medium
45.59,53.84,28.62,7.77,41.72,Medium
79.45,67.81,37.06,7.61,60.11,Medium
100.29,77.34,39.85,4.58,69.42,Medium
77.43,0.07,27.47,5.18,31.54,Low
58.77,53.7,0.98,6.77,95.0,Medium
38.56,0.0,15.02,6.96,51.73,Medium
90.34,32.9,52.46,7.6,84.1,Medium
65.0,16.53,36.43,6.79,51.1,Medium
29.68,24.21,39.3,6.25,29.37,Medium
90.13,66.92,31.69,6.58,36.18,High
37.73,58.14,44.22,4.56,41.73,Medium
31.4,0.0,45.53,5.82,31.15,Medium
72.66,6.96,35.61,5.78,59.23,Medium
55.83,51.28,42.31,6.8,35.47,High
27.38,5.46,21.35,6.54,55.53,Medium
46.32,23.64,20.99,5.08,42.39,Medium
28.54,49.69,0.0,5.23,63.82,Medium
59.6,14.15,48.08,5.58,65.06,Medium
54.85,16.37,22.07,7.57,77.45,Medium
16.96,5.63,33.29,6.27,71.65,Medium
68.86,49.68,14.85,5.5,46.29,Medium
49.99,23.57,44.28,5.75,68.04,Medium
113.11,34.54,26.43,5.16,63.93,Medium
70.64,46.26,18.14,4.96,76.37,Medium
35.36,18.88,33.87,6.96,7.45,Medium
28.33,61.52,27.14,7.74,43.57,Medium
37.02,54.54,15.68,5.63,70.61,Medium
97.06,31.42,23.85,6.01,56.21,High
116.99,24.07,55.95,5.56,53.87,High
92.13,10.46,0.0,4.9,41.9,Medium
41.5,42.42,12.47,7.99,17.7,Medium
79.32,71.04,57.52,5.47,70.38,Medium
69.13,19.05,0.0,6.81,63.09,Medium
76.25,40.03,23.3,5.93,68.01,Medium
53.39,51.46,41.12,6.68,25.56,High
103.0,75.3,55.3,5.35,60.47,High
103.42,33.73,52.68,8.5,79.3,Medium
92.73,23.24,43.85,6.87,66.03,High
126.52,51.18,33.88,7.35,26.86,High
63.56,0.0,48.52,6.77,72.85,Medium
55.62,39.9,0.0,7.25,90.53,Medium
56.09,36.03,0.0,6.67,64.43,Medium
87.37,84.12,0.0,5.63,50.01,Medium
0.0,70.7,9.66,7.14,30.96,Medium
83.32,58.53,59.31,6.63,54.16,High
51.76,57.51,24.79,6.07,58.48,High
64.27,62.62,39.96,6.48,46.18,High
78.01,12.43,32.41,5.17,53.45,Medium
59.64,3.64,16.3,7.17,49.2,Medium
65.38,40.84,39.44,5.68,47.55,Medium
73.69,55.44,32.55,6.28,45.43,High
35.46,23.12,18.95,5.92,63.48,Medium
53.71,35.58,65.13,5.94,32.3,Medium
36.68,17.5,18.83,6.26,62.93,Medium
66.49,26.34,43.67,8.74,50.8,Medium
54.52,33.87,47.32,6.62,45.19,High
125.68,10.69,42.1,5.29,95.0,Medium
87.51,49.3,27.56,5.16,76.98,Medium
27.52,39.67,22.02,6.53,48.28,Medium
106.05,46.99,57.89,5.47,16.32,Medium
61.31,65.71,36.63,6.64,52.21,High
74.18,21.35,38.0,8.16,94.45,Medium
52.94,56.12,29.5,7.93,52.66,Medium
101.28,0.0,18.79,8.14,60.31,Medium
60.99,52.62,53.77,5.62,76.14,Medium
91.84,0.0,34.44,6.06,37.47,Medium
97.3,13.64,4.42,6.52,43.57,Medium
83.89,50.96,66.61,4.02,47.69,High
39.83,0.0,1.85,4.94,68.33,Low
37.48,1.32,69.15,5.65,22.27,Medium
35.7,48.61,20.64,5.17,47.97,Medium
85.95,48.2,10.38,9.0,67.96,Medium
44.11,24.09,15.49,6.17,38.3,Medium
47.31,9.8,40.38,5.49,52.77,Medium
62.28,25.27,31.1,8.0,10.84,Medium
101.13,26.74,42.94,7.49,43.79,High
106.37,49.99,0.0,7.64,49.34,Medium
48.12,0.0,35.97,6.82,68.61,Medium
81.09,21.3,36.27,6.24,19.74,Medium
50.53,6.04,58.89,5.76,80.33,Medium
49.67,39.24,30.44,6.52,29.57,Medium
84.47,22.35,1.96,7.33,44.87,Medium
60.81,63.74,2.28,8.74,34.33,Medium
63.91,0.0,37.23,5.42,50.57,Medium
63.88,24.54,40.78,7.15,35.62,Medium
49.28,62.64,48.91,5.68,29.8,Medium
17.31,21.78,34.29,5.53,47.21,Medium
79.92,62.77,9.3,6.87,77.78,Medium
43.85,59.38,9.03,6.6,47.68,Medium
7.66,90.58,38.34,5.33,62.62,Medium
24.64,41.47,35.86,6.41,30.52,Medium
78.79,24.31,13.48,7.18,71.43,Medium
47.53,42.45,31.95,7.45,55.5,High
71.7,16.26,25.97,7.15,33.13,Medium
35.94,0.0,20.71,7.72,76.1,Low
49.61,24.96,36.13,5.6,62.38,Medium
67.51,36.69,35.64,6.79,52.65,Medium
72.41,28.78,59.64,5.49,66.68,Medium
64.9,12.06,18.35,6.46,57.66,Medium
62.9,50.86,84.19,5.98,41.15,High
47.1,17.55,24.81,4.09,78.92,Medium
62.28,0.19,15.63,6.84,56.23,Medium
11.34,31.8,44.28,5.58,61.96,Medium
70.62,9.86,49.38,5.65,61.69,Medium
90.34,28.76,0.0,6.56,61.49,Medium
84.98,22.83,12.24,6.67,76.26,Medium
101.85,21.83,22.7,7.9,52.07,Medium
113.72,0.0,42.8,7.95,39.65,Medium
55.52,21.72,38.01,6.77,56.84,Medium
71.65,28.98,39.01,7.09,70.03,Medium
75.33,74.47,21.4,6.78,95.0,Medium
63.03,0.0,37.44,6.45,35.0,Medium
74.17,19.44,37.13,8.5,33.56,Medium
42.4,35.04,0.0,8.08,54.19,Medium
93.75,13.23,49.39,5.62,50.33,Medium
54.83,19.36,27.21,8.43,30.32,Medium
74.1,44.39,13.57,9.0,36.12,Medium
52.35,26.58,36.13,5.36,72.33,Medium
51.97,33.48,12.47,6.95,50.44,Medium
75.31,16.41,57.96,7.32,83.16,Medium
58.24,28.05,35.43,8.37,62.45,Medium
60.2,11.67,32.44,7.53,74.88,Medium
84.53,67.56,69.83,7.88,32.13,High
48.95,25.54,45.1,5.92,41.25,Medium
57.35,47.79,27.53,7.18,95.0,Medium
25.92,0.0,12.69,7.87,15.22,Low
44.49,2.09,35.37,7.01,25.76,Medium
81.5,30.06,50.64,7.79,72.51,Medium
57.05,39.28,22.7,5.9,37.1,Medium
58.0,68.61,20.56,7.93,71.16,Medium
56.72,31.59,54.42,5.17,10.6,Medium
92.89,2.45,57.78,7.22,33.49,Medium
67.95,21.94,14.95,6.55,30.83,Medium
44.46,44.88,27.28,7.01,82.46,Medium
69.32,27.18,3.89,6.83,70.65,Medium
66.84,49.09,12.88,6.75,83.23,Medium
56.33,19.73,15.81,7.04,22.13,Medium
93.3,49.78,33.73,6.73,67.14,High
105.66,0.0,32.54,5.97,43.13,Medium
49.29,31.66,38.52,5.42,71.84,Medium
29.82,43.41,20.37,7.15,41.61,Medium
75.48,82.75,38.13,5.49,23.6,Medium
38.89,44.7,27.18,4.9,53.64,Medium
48.74,34.32,0.0,6.1,73.42,Medium
54.68,77.13,61.0,7.2,61.84,High
15.95,52.9,53.79,6.33,65.65,High
64.96,43.7,15.24,4.87,35.33,Medium
60.13,50.24,28.09,6.34,58.23,High
82.05,26.86,5.42,7.62,46.39,Medium
0.0,33.67,14.76,6.1,69.73,Medium
79.67,15.92,28.29,6.89,5.17,Medium
34.21,49.65,32.93,7.45,76.89,Medium
48.09,19.24,40.96,9.0,35.47,Medium
59.84,16.06,80.58,6.73,66.71,High
54.27,8.79,31.68,8.11,66.21,Medium
12.6,6.4,43.67,8.62,55.86,Medium
30.36,11.43,33.73,8.0,43.14,Medium
47.58,37.5,39.96,6.74,37.68,Medium
29.0,6.79,54.46,7.46,78.6,Medium
87.14,55.53,55.41,6.03,61.27,High
74.32,6.19,48.4,5.55,65.7,Medium
101.7,16.43,31.77,8.14,58.57,Medium
66.65,63.62,27.0,6.98,37.91,Medium
91.78,59.02,42.49,7.65,34.97,High
56.78,39.59,51.85,5.01,49.4,Medium
36.97,42.22,20.63,6.14,29.08,Medium
76.9,7.98,53.97,6.68,55.56,Medium
0.0,22.24,35.69,5.01,55.24,Medium
87.79,77.52,52.58,6.87,39.14,High
29.17,56.43,37.02,5.8,29.62,Medium
62.68,15.55,30.89,7.23,19.56,Medium
72.43,32.0,38.15,5.46,50.51,Medium
46.61,34.83,20.38,5.72,34.7,Medium
75.72,28.8,33.4,4.65,56.33,Medium
36.23,29.51,0.0,3.5,53.87,Low
62.1,48.33,35.69,5.76,65.77,Medium
85.5,13.7,33.3,5.89,59.85,Medium
18.33,21.38,46.33,5.72,60.2,Medium
13.8,50.39,16.95,5.57,41.31,Medium
1.79,6.1,13.68,5.35,22.06,Low
114.28,24.57,56.0,6.0,58.52,High
36.2,31.15,38.76,7.08,55.35,Medium
91.39,30.27,28.95,6.74,9.75,Medium
64.94,61.11,7.1,6.79,54.75,Medium
30.71,31.07,54.17,6.62,38.21,Medium
44.67,30.58,52.89,7.12,51.73,High
49.42,3.53,21.06,4.26,53.66,Medium
28.48,30.14,8.72,6.63,9.12,Medium
60.63,6.27,23.67,4.43,71.75,Low
40.39,50.55,39.47,6.85,87.36,Medium
67.42,53.84,2.21,6.68,55.67,Medium
45.35,0.0,11.7,5.98,40.93,Medium
84.1,45.88,54.87,6.77,88.9,High
68.26,68.92,40.12,7.69,67.03,High
57.83,27.61,23.51,6.56,50.14,Medium
27.2,39.26,15.39,5.62,47.41,Medium
37.74,30.75,48.48,6.84,53.55,Medium
64.98,0.0,52.42,5.13,57.91,Medium
36.49,6.4,13.03,6.69,63.42,Medium
54.53,67.83,50.8,4.76,19.66,Medium
66.6,1.84,20.76,7.16,14.98,Medium
84.75,26.7,9.39,6.39,74.44,Medium
77.44,56.3,62.51,7.9,29.62,Medium
58.43,44.46,1.6,6.06,95.0,Medium
47.19,1.03,27.13,5.57,64.47,Medium
76.64,2.38,11.15,5.87,65.49,Medium
96.54,26.85,29.89,6.62,29.31,Medium
91.23,38.85,0.0,7.43,55.33,Medium
62.01,27.76,37.71,5.7,40.65,Medium
64.55,9.9,0.55,6.36,32.48,Medium
57.96,34.38,22.87,4.38,5.0,Medium
61.66,24.37,46.29,7.74,40.33,Medium
44.5,18.7,70.79,6.29,32.93,Medium
9.91,21.55,46.71,8.53,74.3,Medium
79.51,53.86,47.22,6.03,48.03,High
35.72,0.0,21.43,8.3,39.21,Low
99.24,49.56,20.57,6.33,57.7,High
96.92,32.77,27.68,5.09,83.32,Medium
55.88,45.66,2.31,6.52,80.24,Medium
78.65,53.4,0.0,8.27,47.71,Medium
39.52,28.87,24.26,7.35,64.02,Medium
50.57,20.8,9.4,7.68,51.0,Medium
30.8,65.36,29.73,5.87,27.59,Medium
49.04,75.68,65.85,5.82,49.95,High
82.99,7.0,44.86,6.95,5.0,Medium
54.02,43.13,17.99,6.11,25.49,Medium
94.84,33.78,52.35,7.19,54.56,High
62.82,66.86,23.29,6.72,25.82,Medium
84.95,65.12,52.69,5.68,49.56,High
68.46,47.89,4.32,7.57,24.48,Medium
87.06,24.16,62.0,7.04,50.27,High
75.84,0.05,44.69,5.73,41.6,Medium
49.54,11.49,1.12,7.64,24.72,Low
61.82,10.93,45.74,4.57,17.22,Medium
25.87,24.77,57.89,5.3,46.6,Medium
89.96,31.2,31.61,5.61,37.13,Medium
66.97,6.16,56.2,6.8,38.26,Medium
83.55,30.19,25.35,6.41,45.42,High
12.27,0.0,21.41,7.55,57.92,Medium
45.52,26.06,26.22,6.77,80.44,Medium
69.17,58.07,27.42,6.07,47.27,High
57.7,17.74,88.62,7.24,42.19,High
37.34,42.52,0.0,7.04,58.76,Medium
47.32,40.83,53.87,6.43,59.34,High
0.83,0.0,13.45,5.07,48.87,Low
71.43,26.85,2.75,5.52,62.15,Medium
23.54,5.73,54.11,5.9,84.03,Medium
32.65,0.0,31.78,8.22,69.1,Low
49.88,37.58,26.4,5.99,55.13,Medium
71.35,28.78,20.23,6.78,61.01,Medium
52.24,21.52,40.25,6.95,54.25,High
30.16,68.47,55.99,7.17,40.11,High
49.09,9.16,6.48,5.1,48.22,Low
31.27,8.1,24.17,6.44,36.28,Medium
88.77,33.29,10.88,5.76,71.2,Medium
138.41,2.42,33.7,7.24,41.02,Medium
27.95,17.77,60.55,8.66,26.54,Medium
19.12,55.88,39.42,6.21,66.08,Medium
82.31,41.36,46.37,5.97,48.78,High
30.98,5.05,0.0,6.13,84.75,Low
82.96,17.93,27.9,6.85,81.18,Medium
97.89,30.15,0.0,7.28,46.01,Medium
93.26,8.42,74.66,6.1,38.77,Medium
62.9,62.76,62.77,7.57,83.06,Medium
72.86,18.89,13.01,6.32,70.13,Medium
0.0,63.53,16.74,5.54,64.49,Medium
6.35,40.13,33.35,5.79,90.05,Medium
52.57,35.32,11.3,4.2,5.0,Low
23.56,0.0,63.7,7.4,31.91,Medium
52.93,42.63,24.32,8.12,62.74,Medium
138.6,22.58,11.13,5.85,22.49,Medium
53.21,0.0,27.24,7.99,64.09,Medium
16.58,16.78,61.15,5.79,46.8,Medium
39.06,0.0,11.22,7.81,43.67,Low
91.26,19.09,36.82,6.14,44.27,High
78.84,35.78,20.46,6.18,50.05,Medium
62.57,33.84,52.26,7.17,40.11,High
20.24,10.76,19.02,7.07,10.58,Medium
41.58,34.04,25.64,6.47,53.07,Medium
64.51,15.9,23.88,8.1,38.29,Medium
88.3,11.92,8.71,6.43,55.12,Medium
44.21,46.69,32.89,5.22,54.07,Medium
76.34,43.48,33.97,5.15,36.56,Medium
32.6,35.37,31.19,6.61,58.04,Medium
98.05,22.65,60.49,6.92,30.3,High
88.25,34.66,44.6,4.0,22.61,Medium
29.83,20.72,14.47,7.16,73.4,Medium
34.43,15.27,60.12,9.0,46.0,Medium
36.57,45.63,13.95,7.55,46.98,Medium
67.15,17.81,10.6,7.45,54.87,Medium
70.26,15.34,11.87,6.72,9.67,Medium
0.0,30.68,1.1,7.66,21.08,Low
44.54,69.18,34.86,5.9,57.01,Medium
74.16,42.57,51.63,6.91,48.28,High
87.24,34.52,21.59,4.67,53.8,Medium
50.43,46.38,23.19,5.27,45.74,Medium
65.19,41.72,56.18,6.98,49.61,High
75.26,32.86,20.03,5.97,38.04,Medium
61.21,29.93,37.12,7.48,81.37,Medium
30.46,13.2,51.09,5.48,51.04,Medium
62.26,49.49,28.79,5.49,44.78,Medium
76.11,48.81,31.64,7.03,66.59,High
51.82,16.67,0.0,6.5,46.19,Medium
75.28,31.0,14.0,5.83,46.64,Medium
57.06,0.0,14.55,5.05,48.74,Low
112.1,45.88,63.98,6.55,59.86,High
93.53,0.0,32.02,6.75,67.98,Medium
70.46,20.98,39.02,6.21,69.32,Medium
21.1,9.26,12.33,7.05,69.09,Medium
35.22,57.35,44.81,6.8,62.23,High
46.81,51.69,38.87,6.21,56.23,High
83.9,55.27,32.4,5.57,26.47,Medium
91.04,41.15,50.77,7.18,75.17,High
62.85,8.73,20.08,5.78,42.52,Medium
114.98,41.92,48.97,7.87,80.34,High
79.71,47.93,58.58,6.8,59.16,High
30.88,56.17,50.56,7.88,31.3,Medium
30.79,48.77,0.64,6.05,75.51,Medium
94.67,43.76,2.58,6.26,42.52,High
48.6,32.62,46.99,6.29,57.4,High
116.64,82.8,9.54,5.84,43.41,Medium
74.78,2.57,74.83,6.35,23.19,Medium
53.58,8.53,28.71,4.37,18.43,Low
62.43,16.92,51.94,6.7,64.66,High
77.97,15.9,42.39,7.31,20.49,Medium
79.08,82.34,13.74,6.39,44.86,Medium
57.86,29.87,0.0,6.82,61.75,Medium
78.03,43.22,0.0,5.94,37.44,Medium
47.64,36.0,24.61,4.68,43.14,Medium
70.64,70.56,31.09,7.32,46.36,High
83.64,38.74,40.8,5.01,8.26,Medium
0.0,6.06,35.54,6.26,53.69,Medium
60.68,52.76,2.04,7.36,91.87,Medium
81.78,34.92,24.22,7.1,37.45,Medium
48.26,64.55,8.75,6.47,45.45,Medium
51.35,28.6,18.41,6.5,8.73,Medium
51.41,26.16,80.8,5.6,75.46,Medium
49.75,21.52,33.17,7.66,57.51,Medium
64.18,0.0,26.26,6.56,38.93,Medium
17.36,27.45,40.06,6.55,31.4,Medium
52.2,0.0,46.37,8.1,34.14,Medium
71.58,35.54,34.54,4.49,52.05,Medium
52.58,4.17,49.31,5.7,37.86,Medium
28.12,5.86,49.01,4.37,22.82,Low
82.8,72.16,31.79,4.32,18.78,Medium
45.06,0.0,0.0,6.57,72.0,Medium
90.0,46.33,70.7,6.93,56.79,High
77.49,43.67,63.16,6.52,61.98,High
38.81,46.86,44.24,6.31,49.93,High
60.32,0.0,60.16,6.06,12.51,Medium
109.75,56.84,21.97,5.44,34.96,Medium
79.78,51.42,17.07,7.55,39.71,Medium
63.24,25.59,1.14,6.26,63.22,Medium
43.11,8.98,30.21,6.33,43.56,Medium
122.74,16.8,15.72,7.75,95.0,Medium
37.88,0.0,74.93,6.45,56.19,Medium
17.48,19.73,34.41,8.16,42.81,Medium
57.51,20.64,37.69,7.25,50.99,Medium
0.0,58.09,0.0,7.62,47.76,Medium
70.71,46.17,62.74,6.72,77.56,High
39.87,0.0,0.0,5.45,81.63,Low
79.96,10.74,31.9,5.2,78.33,Low
65.09,36.87,31.35,5.72,55.68,Medium
151.17,18.59,5.84,7.51,29.75,Medium
53.42,8.33,23.96,6.97,34.26,Medium
106.9,15.27,66.89,4.95,22.32,Medium
84.56,14.47,0.0,6.55,73.94,Medium
28.44,43.19,7.41,7.49,42.0,Medium
130.49,15.57,75.85,5.59,18.81,Medium
26.67,21.05,0.0,6.38,54.58,Medium
58.14,40.4,31.01,6.01,41.46,High
32.89,49.28,19.94,5.43,67.19,Medium
12.24,30.89,41.03,5.36,27.92,Medium
54.8,27.9,6.48,6.59,37.02,Medium
33.96,23.78,65.93,5.67,61.09,Medium
88.12,40.8,44.28,6.12,56.19,High
67.55,6.68,10.88,6.55,48.11,Medium
57.58,20.9,9.48,6.32,50.48,Medium
